# Figure 11 - Variations of the mass flux rate in kg day −1 with time from July 1st, 2013 to June 30th, 2014 for different radiant sources - values shown for preferred solution, Fcoll=20, alpha=4.0
# Days after July 1st, Total flux, Anti-helion source, Apex source, Helion source, Anti-apex source
119.5 1471.77 394.799 406.166 539.896 130.906
120 1473.25 396.36 401.412 540.342 135.141
120.5 1472.51 398.44 394.651 538.633 140.936
121 1472.51 401.337 388.113 536.85 145.84
121.5 1474.74 404.383 384.695 534.621 150.892
122 1473.25 407.652 381.204 528.752 156.018
122.5 1472.51 411.07 375.557 525.409 160.698
123 1471.77 414.933 372.437 520.208 164.413
123.5 1473.25 419.242 370.282 515.899 168.053
124 1474 424.294 365.899 512.259 171.62
124.5 1471.77 428.38 363.224 505.795 174.22
125 1474.74 434.175 366.048 496.657 177.712
125.5 1471.77 441.085 361.07 491.233 178.009
126 1471.03 447.4 360.401 484.695 178.306
126.5 1471.77 450.966 359.064 482.615 179.346
127 1472.51 460.327 362.927 471.471 177.563
127.5 1471.77 465.75 362.333 467.533 176.003
128 1473.25 472.437 366.568 459.361 174.74
128.5 1474 475.483 373.403 452.377 172.883
129 1471.77 484.101 370.282 449.703 167.459
129.5 1474.74 488.633 378.752 444.874 162.853
130 1474 494.577 385.364 438.633 155.423
130.5 1474 497.623 389.525 436.478 150.297
131 1474.74 500.074 395.914 433.432 145.097
131.5 1477.71 505.126 402.006 429.792 140.565
132 1478.45 505.944 410.55 429.421 132.392
132.5 1478.45 505.052 419.242 427.489 126.597
133 1479.2 504.606 430.015 424.889 120.059
133.5 1479.94 500.892 441.233 422.66 115.156
134 1482.17 500.594 448.737 420.579 112.259
134.5 1480.68 493.091 458.47 421.62 107.504
135 1483.66 489.153 467.459 422.288 104.681
135.5 1484.4 485.364 473.477 423.848 101.634
136 1483.66 480.461 479.198 426.3 97.6969
136.5 1484.4 475.854 485.438 428.158 94.948
137 1485.14 469.614 490.565 430.609 94.1308
137.5 1486.63 468.128 498.737 430.238 89.7474
138 1487.37 460.253 499.777 438.782 88.4101
138.5 1487.37 454.755 502.006 441.902 88.633
139 1488.86 448.44 504.309 448.44 87.89
139.5 1491.08 443.759 507.578 451.709 87.8158
140 1489.6 438.336 508.098 456.241 87.2214
140.5 1490.34 433.135 504.458 466.642 85.8841
141 1490.34 430.089 506.389 466.865 86.8499
141.5 1490.34 425.854 505.201 471.62 87.8158
142 1492.57 421.991 502.377 478.083 89.896
142.5 1491.83 418.053 498.514 484.77 90.1932
143 1490.34 415.973 493.016 490.267 91.0847
143.5 1493.31 413.373 490.045 495.319 94.4279
144 1489.6 410.698 483.358 500.149 95.2452
144.5 1489.6 408.544 477.637 505.795 97.3997
145 1490.34 406.909 472.288 511.293 99.6285
145.5 1489.6 405.201 467.311 514.636 102.303
146 1491.08 404.606 462.036 519.688 104.681
146.5 1490.34 403.566 453.938 524.071 108.47
147 1492.57 403.418 449.554 527.415 111.813
147.5 1492.57 403.492 442.496 531.947 115.007
148 1493.31 404.16 434.844 535.438 119.168
148.5 1491.08 405.349 427.043 535.884 122.883
149 1492.57 407.355 420.059 537.37 128.083
149.5 1489.6 408.544 411.59 535.661 134.027
150 1489.6 410.104 405.721 534.695 138.707
150.5 1491.83 412.407 400.966 533.358 144.725
151 1491.83 415.527 396.805 529.643 149.629
151.5 1490.34 418.648 390.713 526.226 154.532
152 1492.57 423.031 388.336 521.025 160.03
152.5 1488.86 427.117 381.724 516.493 163.67
153 1490.34 431.575 377.563 513.299 168.128
153.5 1488.11 437.593 374.666 504.16 171.768
154 1488.11 443.239 373.031 498.068 173.848
154.5 1490.34 448.737 370.505 493.091 177.712
155 1490.34 455.572 368.722 485.215 180.609
155.5 1487.37 461.59 367.756 479.346 178.975
156 1490.34 469.019 372.883 468.574 179.495
156.5 1493.31 476.523 374.22 463.596 179.272
157 1491.83 481.724 375.706 458.767 175.334
157.5 1489.6 487.37 377.266 450.892 174.294
158 1488.11 495.691 378.975 444.354 169.316
158.5 1490.34 501.04 383.358 439.747 165.973
159 1491.08 507.281 387.444 435.364 161.218
159.5 1491.08 511.738 393.536 431.501 154.086
160 1490.34 514.71 398.737 427.563 149.554
160.5 1493.31 517.533 406.018 425.037 145.022
161 1493.31 520.877 411.441 422.883 138.039
161.5 1494.06 520.802 421.248 420.431 131.426
162 1498.51 524.146 429.569 419.019 125.632
162.5 1497.03 521.471 439.747 417.162 118.722
163 1498.51 517.236 450.297 415.973 114.933
163.5 1499.26 515.082 457.727 415.305 110.773
164 1500.74 511.144 467.905 414.413 106.984
164.5 1498.51 506.909 471.025 416.865 103.938
165 1500 504.681 476.672 417.311 101.263
165.5 1500.74 498.217 485.141 418.945 98.2912
166 1500.74 493.388 491.53 421.322 94.6508
